X,Y,OBJECTID,created_date,created_user,src_geo,clc_quartier,clc_secteur,id_arbre,haut_tot,haut_tronc,tronc_diam,fk_arb_etat,fk_stadedev,fk_port,fk_pied,fk_situation,fk_revetement,commentaire_environnement,dte_plantation,age_estim,fk_prec_estim,clc_nbr_diag,dte_abattage,fk_nomtech,last_edited_user,last_edited_date,villeca,nomfrancais,nomlatin,GlobalID,CreationDate,Creator,EditDate,Editor,feuillage,remarquable
1722269.5204,8295056.8656,898,2017/02/02 15:27:50+00,mickael.delaere,Orthophoto,Quartier Remicourt,Auberge de jeunesse,6,23.0,2.0,200.0,SUPPRIMÉ,adulte,semi libre,bande de terre,Alignement,Non,RAS,,50.0,10.0,1.0,,POPNIGita,mickael.delaere,2017/05/10 12:53:52+00,VILLE,POPNIGita,POPNIGita,{C1B6D229-F953-4F66-9991-17E1F68444CC},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1721373.0009,8295506.9999,3958,2017/02/02 15:28:02+00,mickael.delaere,Orthophoto,Quartier de l'Europe,Rue Alexandre Ribot,2,16.0,4.0,195.0,EN PLACE,adulte,semi libre,gazon,Isolé,Non,RAS,,40.0,10.0,0.0,,PINNIGnig,mickael.delaere,2017/02/02 15:28:02+00,VILLE,PINNIGnig,PINNIGnig,{8F1AEC59-96C4-49F7-AE55-EF9E230DFA74},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Conifère,Non
1721302.7508,8295487.4553,5016,2017/02/02 15:28:08+00,mickael.delaere,Orthophoto,Quartier Remicourt,Rue Ampère,3,17.0,3.0,80.0,EN PLACE,adulte,semi libre,gazon,Groupe,Non,RAS,,40.0,10.0,0.0,,BETPEN,mickael.delaere,2017/02/02 15:28:08+00,VILLE,BETPEN,BETPEN,{E413BEEF-AC5C-4150-B790-777F32884DAA},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1721738.0906,8296013.68,5477,2017/02/02 15:28:09+00,mickael.delaere,Orthophoto,Quartier de l'Europe,Rue Boileau,102,10.0,2.0,100.0,ABATTU,adulte,semi libre,gazon,Isolé,Non,RAS,,40.0,10.0,0.0,2020/09/30 22:00:00+00,CRAMON,mickael.delaere,2017/02/02 15:28:09+00,VILLE,CRAMON,CRAMON,{0F45A8BE-6AF7-416D-82E4-1E7433D46B4C},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1721543.9173,8293400.7945,3669,2017/02/02 15:28:02+00,mickael.delaere,Orthophoto,Quartier du faubourg d'Isle,Place Cordier,18,7.0,3.0,50.0,EN PLACE,jeune,semi libre,gazon,Groupe,Non,RAS,,25.0,10.0,0.0,,PINSYL,mickael.delaere,2017/02/02 15:28:02+00,VILLE,PINSYL,PINSYL,{01F7CA58-1A9E-4EB8-88E4-1755EBCEE0CF},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Conifère,Non
1721132.8581,8294557.4454,479,2017/02/02 15:27:50+00,mickael.delaere,Orthophoto,Quartier Remicourt,Parc des Champs-Elysées,278,16.0,4.0,121.0,EN PLACE,adulte,semi libre,gazon,Alignement,Non,RAS,,50.0,10.0,0.0,,PLAACE,mickael.delaere,2017/05/12 09:26:57+00,VILLE,PLAACE,PLAACE,{3ECF67E5-DD59-4974-BB12-BB2A29E143A1},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1721266.8101,8294407.3724,1298,2017/02/02 15:27:53+00,mickael.delaere,Orthophoto,Quartier Remicourt,Boulevard Gambetta,55,8.0,2.0,60.0,EN PLACE,jeune,semi libre,gazon,Alignement,Non,RAS,,15.0,5.0,0.0,,LIRTUL,mickael.delaere,2017/02/02 15:27:53+00,VILLE,LIRTUL,LIRTUL,{051DFA12-9030-4535-9F8A-A9AAAF753B91},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
1722058.3325,8294593.628,11153,2018/01/10 14:17:21+00,mickael.delaere,Orthophoto,Quartier Remicourt,Boulevard Jean Bouin,25,15.0,2.0,114.0,EN PLACE,Adulte,Libre,Terre,Alignement,Non,RAS,,35.0,5.0,0.0,,THUPLI,mickael.delaere,2018/01/10 14:17:21+00,VILLE,THUPLI,THUPLI,{C1323F47-34B1-4AB4-85C9-95555B1BFEF0},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Conifère,Non
1722252.5593,8295456.0475,5640,2017/02/02 15:28:08+00,mickael.delaere,Orthophoto,Quartier de l'Europe,Avenue de la Résistance,53,12.0,3.0,55.0,EN PLACE,adulte,semi libre,Bande de terre,Groupe,Non,RAS,,25.0,10.0,0.0,,PINNIGnig,mickael.delaere,2017/02/02 15:28:08+00,VILLE,PINNIGnig,PINNIGnig,{19F586FA-D51C-4DB0-9F9E-12167841AF77},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Conifère,Non
1720097.3049,8294972.4587,2097,2017/02/02 15:27:57+00,mickael.delaere,Orthophoto,Quartier Saint-Jean,Rue Emile Billon,31,5.0,4.0,237.0,EN PLACE,adulte,tête de chat,fosse arbre,Alignement,,RAS,,80.0,20.0,0.0,,TILTOM,mickael.delaere,2017/02/02 15:27:57+00,VILLE,TILTOM,TILTOM,{C839BE02-00BE-4E15-A5E5-CDC8B4687B8B},2018/01/15 10:59:36+00,mickael.delaere,2018/01/15 10:59:36+00,mickael.delaere,Feuillu,Non
